PointsNo,Hull,GrahamTime,JarvisTime
10,6,6.104199565015733e-05,6.341699918266386e-05
50,9,0.0002790200014715083,0.00035640499845612794
100,13,0.0006079759987187572,0.0010826940051629208
200,15,0.001742913002090063,0.002312195996637456
500,17,0.003897754999343306,0.007528083995566703
1000,22,0.008971582996309735,0.021458534996781964
